Round 1,Round 2,Qualifier
SUN Wen Jun / ZHU Yi Jun,,
,SUN Wen Jun / ZHU Yi Jun,
XU Hua Yu / ZHANG Le Jian,19-21 21-16 21-17 (1:08),
,,SUN Wen Jun / ZHU Yi Jun
GAO Jia Xuan / ZHANG Kun Zhong [PMD],,19-21 21-16 21-13 (0:48)
,GAO Jia Xuan / ZHANG Kun Zhong [PMD],
LIN Yi / YAN Yuhang,21-13 21-15 (0:30),
,,
CHENG Kai Wen / LIAO Chao Pang,,
,CHENG Kai Wen / LIAO Chao Pang,
Lap Kan Kern PONG / Larry PONG,15-21 21-16 21-11 (0:42),
,,CHENG Kai Wen / LIAO Chao Pang
LIAO Pin Yi / MA Xi Xiang,,21-19 23-25 21-15 (0:53)
,LIAO Pin Yi / MA Xi Xiang,
Shawn HIU / Hong Jun KASH LEE,21-7 21-6 (0:18),
,,
KOK Jia Cheng / Mohamed Faris Amrin MOHD ROSLAN,,
,Bo-Yuan CHEN / LI Feng Cheng,
Bo-Yuan CHEN / LI Feng Cheng,21-18 21-17 (0:28),
,,Bo-Yuan CHEN / LI Feng Cheng
CHEN Xin-Yuan / TING Yen-Chen,,12-21 21-18 21-17 (0:54)
,Mahiro KANEKO / Shunya OTA,
Mahiro KANEKO / Shunya OTA,21-16 21-15 (0:28),
,,
GOH Shao Tang / Ming Kang TAN,,
,Tze Jian LIM / Tien Ci WONG,
Tze Jian LIM / Tien Ci WONG,21-17 21-14 (0:26),
,,Tze Jian LIM / Tien Ci WONG
LIANG Yongwang / ZHU Yan Peng,,21-14 21-16 (0:38)
,LIANG Yongwang / ZHU Yan Peng,
MA Shang / ZHU Haiyuan,22-20 21-15 (0:37),
,,
