Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Laksika KANLAHA / Phataimas MUENWONG [1],,,,,
,Laksika KANLAHA / Phataimas MUENWONG [1],,,,
JIANG Yi-Hua / LI Zi Qing,18-21 21-10 21-17 (1:02),,,,
,,Laksika KANLAHA / Phataimas MUENWONG [1],,,
CHEN Yingxue / ZHANG Jinger [PMD],,21-14 21-11 (0:32),,,
,CHEN Yingxue / ZHANG Jinger [PMD],,,,
CHIU Pin-Chian / TUNG Ciou-Tong,21-18 21-9 (0:32),,,,
,,,Laksika KANLAHA / Phataimas MUENWONG [1],,
LIN Xiao Min / LIU Chiao-Yun [7],,,21-19 21-17 (0:46),,
,LIN Xiao Min / LIU Chiao-Yun [7],,,,
CHUNG Kan-Yu / HSIEH Pei Shan,21-15 21-12 (0:29),,,,
,,Maiko KAWAZOE / Riko KIYOSE,,,
HUA Xiaobei / QIAN Gouhong [PMD],,23-21 21-17 (0:50),,,
,Maiko KAWAZOE / Riko KIYOSE,,,,
Maiko KAWAZOE / Riko KIYOSE,17-21 21-18 21-11 (1:09),,,,
,,,,Laksika KANLAHA / Phataimas MUENWONG [1],
CHENG Yu-Pei / SUN Wen Pei [4],,,,21-17 21-12 (0:58),
,CHENG Yu-Pei / SUN Wen Pei [4],,,,
Bye,Bye,,,,
,,HUANG Ke Xin / WU Meng Ying,,,
LEE Zhi Qing / Sue Xin TIO [PMD],,21-10 9-21 21-18 (0:50),,,
,HUANG Ke Xin / WU Meng Ying,,,,
HUANG Ke Xin / WU Meng Ying,21-18 21-10 (0:32),,,,
,,,BAO Li Jing / TANG Rui Zhi [5],,
BAO Li Jing / TANG Rui Zhi [5],,,20-22 21-12 21-12 (1:15),,
,BAO Li Jing / TANG Rui Zhi [5],,,,
SUNG Yi-Hsuan / YANG Yi Hsun,21-16 21-10 (0:41),,,,
,,BAO Li Jing / TANG Rui Zhi [5],,,
LIN YEN YU / TSAI Ruo Lin,,21-14 21-15 (0:44),,,
,QIAO Shijun / WANG Yu Yan [PMD],,,,
QIAO Shijun / WANG Yu Yan [PMD],21-8 21-11 (0:27),,,,
,,,,,Laksika KANLAHA / Phataimas MUENWONG [1]
WANG Yi Zhen / YANG Yu-Chi,,,,,17-21 21-15 21-16 (1:17)
,LIN Chih-Chun / SUNG Yu-Hsuan,,,,
LIN Chih-Chun / SUNG Yu-Hsuan,21-16 18-21 21-8 (0:49),,,,
,,LIN Chih-Chun / SUNG Yu-Hsuan,,,
HUNG Yi-Ting / PENG Yu Wei,,21-16 21-18 (0:38),,,
,Yuxin GUO / XIA Yuting [8],,,,
Yuxin GUO / XIA Yuting [8],21-13 21-17 (0:32),,,,
,,,CHEN Xiaofei / FENG Xueying,,
HUNG Hsin En / HUNG Yu- En,,,21-18 21-16 (0:34),,
,Mizuki OTAKE / Miyu TAKAHASHI,,,,
Mizuki OTAKE / Miyu TAKAHASHI,21-10 21-9 (0:26),,,,
,,CHEN Xiaofei / FENG Xueying,,,
CHEN Xiaofei / FENG Xueying,,21-16 22-24 21-17 (1:08),,,
,CHEN Xiaofei / FENG Xueying,,,,
Nicole Gonzales CHAN / YANG Chu Yun [3],21-14 21-7 (0:28),,,,
,,,,CHEN Xiaofei / FENG Xueying,
Kokona ISHIKAWA / Mio KONEGAWA,,,,21-18 18-21 21-16 (1:28),
,Kokona ISHIKAWA / Mio KONEGAWA,,,,
DING Ke Yun / LUO Yi,21-13 21-11 (0:41),,,,
,,Kokona ISHIKAWA / Mio KONEGAWA,,,
CHEN Yingying / WU Jia Shu,,21-8 21-19 (0:44),,,
,GO Pei Kee / LOW Yeen Yuan [6],,,,
GO Pei Kee / LOW Yeen Yuan [6],21-15 21-16 (0:53),,,,
,,,Kokona ISHIKAWA / Mio KONEGAWA,,
HUANG Xin Yao / LU Yi,,,21-17 21-14 (0:43),,
,Miki KANEHIRO / Rui KIYAMA,,,,
Miki KANEHIRO / Rui KIYAMA,21-17 21-13 (0:36),,,,
,,HUNG En-Tzu / LIN Yu-Pei [2],,,
LIANG Yu En / ZHOU Jia Qi,,21-16 21-18 (0:47),,,
,HUNG En-Tzu / LIN Yu-Pei [2],,,,
HUNG En-Tzu / LIN Yu-Pei [2],21-16 21-14 (0:31),,,,
,,,,,
