Round 1,Round 2,Qualifier
Sakura MASUKI [PMD],,
,Sakura MASUKI [PMD],
GUO Xin Yi,13-21 21-17 21-10 (0:52),
,,HAN Qianxi
WU Yuqi,,21-16 19-21 21-17 (1:00)
,HAN Qianxi,
HAN Qianxi,17-21 21-14 21-12 (0:45),
,,
QIU Ziying,,
,QIU Ziying,
Cassey Rynn ROMPOG,21-8 21-9 (0:24),
,,QIU Ziying
WU Wei,,21-11 21-17 (0:37)
,WU Wei,
Ngoc Van LE,21-10 21-12 (0:24),
,,
YANG Jing Rui,,
,YANG Jing Rui,
CAI Yanyan,21-17 18-21 27-25 (1:08),
,,YANG Jing Rui
HUANG Yu Wei,,19-21 21-14 21-12 (0:49)
,LYU Xuezhou [PMD],
LYU Xuezhou [PMD],21-19 21-16 (0:36),
,,
Sarah NGU,,
,HSIEH Yun-Shan,
HSIEH Yun-Shan,21-15 21-15 (0:31),
,,ZHANG Xin Ran
Yuan Chi LIAO,,21-14 21-9 (0:27)
,ZHANG Xin Ran,
ZHANG Xin Ran,21-11 21-8 (0:26),
,,
