Round 1,Round 2,Qualifier
CHEN Yu-Che / Yuan Chi LIAO [PMD],,
,CHEN Yu-Che / Yuan Chi LIAO [PMD],
Bye,Bye,
,,HUANG Yi Xuan / QIN Hui Zhi
WANG Hao Yuan / HAN Yu Xin,,Walkover
,HUANG Yi Xuan / QIN Hui Zhi,
HUANG Yi Xuan / QIN Hui Zhi,21-13 22-20 (0:27),
,,
GAO Jia Xuan / HUANG Ke Xin,,
,GAO Jia Xuan / HUANG Ke Xin,
Bye,Bye,
,,GAO Jia Xuan / HUANG Ke Xin
Vaibhav B.S. / Liem Swie King [WDN],,21-14 17-21 21-17 (0:53)
,ZHANG Kun Zhong / ZHANG Kai Xuan,
ZHANG Kun Zhong / ZHANG Kai Xuan,Bye,
,,
SHANG Yichen / LIN Fangling,,
,SHANG Yichen / LIN Fangling,
Rohith MOHANKUMAR / Riduvarshini RAMASAMY,21-9 21-8 (0:27),
,,SHANG Yichen / LIN Fangling
Bye,,21-15 21-15 (0:26)
,TAO Ze Yu / HU Qian Hui,
TAO Ze Yu / HU Qian Hui,Bye,
,,
Yuichi SHIMOGAMI / Sayaka HOBARA,,
,Yuichi SHIMOGAMI / Sayaka HOBARA,
LIAO Pin Yi / BAO Li Jing,21-16 21-16 (0:34),
,,Yuichi SHIMOGAMI / Sayaka HOBARA
Bye,,21-9 21-5 (0:20)
,Zhi-Wei HE / LIN Yu-Pei,
Zhi-Wei HE / LIN Yu-Pei,Bye,
,,
