Players,Opponents,Category,Round,Set,Comeback,Details
Kartikey GULSHAN KUMAR,Ricky TANG,MS,Round 1,1,4,View
Koshiro MORIGUCHI,Pang Fong PUI,MS,Round 1,2,2,View
Koshiro MORIGUCHI,Pang Fong PUI,MS,Round 1,3,3,View
Xiaodong SHENG,Shogo OGAWA,MS,Round 1,1,2,View
Takuma KAWAMOTO,TING Yen-Chen,MS,Round 1,1,1,View
TING Yen-Chen,Takuma KAWAMOTO,MS,Round 1,2,2,View
Takuma KAWAMOTO,TING Yen-Chen,MS,Round 1,3,1,View
PHONE Pyae NAING,Ratchaphol SRITHONG,MS,Round 1,1,2,View
PHONE Pyae NAING,Ratchaphol SRITHONG,MS,Round 1,2,1,View
YANG Yang,Larry PONG,MS,Round 1,1,2,View
