Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Rahmat HIDAYAT / Yeremia Erich Yoche YACOB [1],,,,,
,Rahmat HIDAYAT / Yeremia Erich Yoche YACOB [1],,,,
DENG Hao Xuan / XU Jia Jun,21-13 7-21 21-14 (0:40),,,,
,,CHEN Yong Rui / CHEN Zhe Han,,,
CHEN Yong Rui / CHEN Zhe Han,,16-21 21-14 21-13 (0:50),,,
,CHEN Yong Rui / CHEN Zhe Han,,,,
HUNG Kuei Chun / LUI Chun Wai,21-18 21-14 (0:33),,,,
,,,CHEN Yong Rui / CHEN Zhe Han,,
TAN Qiang / YU Jiahao [7],,,21-15 21-17 (0:38),,
,TAN Qiang / YU Jiahao [7],,,,
PUI Chi Chon / Pang Fong PUI,21-17 21-18 (0:23),,,,
,,CHOI SolGyu / GOH V Shem,,,
BOON Xin Yuan / Yi Bo LEE,,21-18 21-15 (0:29),,,
,CHOI SolGyu / GOH V Shem,,,,
CHOI SolGyu / GOH V Shem,21-17 18-21 21-16 (1:01),,,,
,,,,CHEN Yong Rui / CHEN Zhe Han,
Kazuki SHIBATA / Naoki YAMADA [4],,,,17-21 21-16 21-15 (1:10),
,Kazuki SHIBATA / Naoki YAMADA [4],,,,
LEE Chang Lung / YANG Ming-Tse,21-17 21-13 (0:33),,,,
,,Kazuki SHIBATA / Naoki YAMADA [4],,,
CHAN Yueh Lin / CHU Bo Rong,,24-22 21-18 (0:39),,,
,CHAN Yueh Lin / CHU Bo Rong,,,,
Cheng CHEN / LIN Shang Kai,21-17 15-21 21-13 (0:48),,,,
,,,Kazuki SHIBATA / Naoki YAMADA [4],,
CHEN Xujun / GUO Ruohan [6],,,21-17 21-12 (0:33),,
,CHEN Xujun / GUO Ruohan [6],,,,
BEH Chun Meng / Jian Sheng CHOI,21-19 21-11 (0:39),,,,
,,LAU Yi Sheng / Tze Jian LIM,,,
LAU Yi Sheng / Tze Jian LIM,,21-19 15-21 21-17 (0:58),,,
,LAU Yi Sheng / Tze Jian LIM,,,,
Yu Hsiang CHOU / Po Chih YANG,21-12 21-16 (0:30),,,,
,,,,,CHEN Yong Rui / CHEN Zhe Han
HU Ke Yuan / LIN Xiang Yi,,,,,23-21 21-15 (0:42)
,HU Ke Yuan / LIN Xiang Yi,,,,
LIAO Pin Yi / MA Xi Xiang,21-15 21-18 (0:32),,,,
,,HU Ke Yuan / LIN Xiang Yi,,,
Bo-Yuan CHEN / TSENG Min Hao,,21-15 21-18 (0:37),,,
,Eng Keat Wesley KOH / Junsuke KUBO [8],,,,
Eng Keat Wesley KOH / Junsuke KUBO [8],18-21 21-19 21-19 (1:01),,,,
,,,HU Ke Yuan / LIN Xiang Yi,,
LAI Po Yu / TSAI Fu Cheng,,,18-21 21-15 21-18 (0:57),,
,LAI Po Yu / TSAI Fu Cheng,,,,
Chia Yen LIN / LIN Yong Sheng,10-21 21-17 21-11 (0:44),,,,
,,LAI Po Yu / TSAI Fu Cheng,,,
BAO XIN Da Gu La Wai / Tzu Hung CHIU,,21-11 21-16 (0:25),,,
,BAO XIN Da Gu La Wai / Tzu Hung CHIU,,,,
Chaloempon CHAROENKITAMORN / Worrapol THONGSA-NGA [3],18-21 22-20 21-18 (0:58),,,,
,,,,HU Ke Yuan / LIN Xiang Yi,
LU Ching Yao / WEI Chun Wei,,,,21-18 21-12 (0:33),
,LU Ching Yao / WEI Chun Wei,,,,
HUANG Tsung-I / LIN Ting-Yu,21-11 21-17 (0:30),,,,
,,LU Ching Yao / WEI Chun Wei,,,
Yi Fan LIN / MA Shang,,21-19 21-9 (0:35),,,
,Kakeru KUMAGAI / Hiroki NISHI [5],,,,
Kakeru KUMAGAI / Hiroki NISHI [5],16-21 21-10 21-7 (0:45),,,,
,,,CHENG Kai Wen / LIAO Chao Pang,,
CHENG Kai Wen / LIAO Chao Pang,,,21-23 21-13 22-20 (1:03),,
,CHENG Kai Wen / LIAO Chao Pang,,,,
Dickon KHOO / LYE Jun Cheng,21-10 21-9 (0:22),,,,
,,CHENG Kai Wen / LIAO Chao Pang,,,
TANG Chun Man / YEUNG Shing Choi,,21-18 22-20 (0:36),,,
,CUI He Chen / PENG Jian Qin [2],,,,
CUI He Chen / PENG Jian Qin [2],21-16 20-22 21-12 (0:54),,,,
,,,,,
