Round 1,Quarter-final,Qualifier
Quan Fen CHEN / Li Kai XU [PMD],,
,Yang Rui OU / Run Jie WANG,
Yang Rui OU / Run Jie WANG,21-6 21-13 (0:24),
,,HU Ke Yuan / LIN Xiang Yi
HU Ke Yuan / LIN Xiang Yi,,21-19 21-16 (0:34)
,HU Ke Yuan / LIN Xiang Yi,
YAO Zhidi / ZHANG Nan,21-9 21-13 (0:28),
,,
LIN Yi / Jia Zhuo YANG,,
,LIAO Pin Yi / MA Xi Xiang,
LIAO Pin Yi / MA Xi Xiang,21-14 21-18 (0:33),
,,LIAO Pin Yi / MA Xi Xiang
GAO Zhen Qing / ZHANG Kun Zhong,,21-16 15-21 21-13 (0:40)
,GAO Zhen Qing / ZHANG Kun Zhong,
Zi Heng LI / Jia He XU,21-19 21-15 (0:32),
,,
LIU Cheng Ming / MAO Shi Cheng,,
,LIU Cheng Ming / MAO Shi Cheng,
Jingtong CHEN / Jhonatan WU ZHENG,21-18 21-16 (0:27),
,,CHEN Yong Rui / CHEN Zhe Han
CHEN Yong Rui / CHEN Zhe Han,,21-8 21-15 (0:20)
,CHEN Yong Rui / CHEN Zhe Han,
DENG Cheng Hao / FAN Jun Lin,21-19 21-12 (0:27),
,,
TANG Chun Man / YEUNG Shing Choi,,
,TANG Chun Man / YEUNG Shing Choi,
Hao Xiang YU / Yu Han ZHANG,21-9 21-9 (0:23),
,,TANG Chun Man / YEUNG Shing Choi
Hung Ming CHEN / Cheng Han TSAI,,18-21 21-18 21-15 (0:52)
,XU Hua Yu / ZHANG Le Jian,
XU Hua Yu / ZHANG Le Jian,21-14 21-14 (0:28),
,,
