Round 1,Round 2,Round 3,Quarter-final,Semi-final,Final,Winner
CHEAM June Wei [1],,,,,,
,CHEAM June Wei [1],,,,,
Bye,Bye,,,,,
,,DONG Tian Yao,,,,
CHEN Chi Ting,,21-11 21-12 (0:32),,,,
,DONG Tian Yao,,,,,
DONG Tian Yao,21-3 21-7 (0:29),,,,,
,,,DONG Tian Yao,,,
Chung-Hsiang YIH,,,21-18 21-16 (0:55),,,
,Chung-Hsiang YIH,,,,,
Bye,Bye,,,,,
,,Yudai OKIMOTO,,,,
LEE Samuel,,19-21 21-13 21-13 (1:18),,,,
,Yudai OKIMOTO,,,,,
Yudai OKIMOTO,21-7 21-10 (0:33),,,,,
,,,,HU Zhe An,,
NGUYEN Hai Dang [5],,,,21-19 21-13 (0:50),,
,NGUYEN Hai Dang [5],,,,,
Bye,Bye,,,,,
,,LIU Liang,,,,
LIU Liang,,21-13 21-17 (0:39),,,,
,LIU Liang,,,,,
HUAN Kai Hern,21-9 21-13 (0:32),,,,,
,,,HU Zhe An,,,
Eon EOGENE EWE,,,21-14 18-21 21-9 (0:56),,,
,Eon EOGENE EWE,,,,,
Bye,Bye,,,,,
,,HU Zhe An,,,,
HUANG Yu,,21-12 21-11 (0:38),,,,
,HU Zhe An,,,,,
HU Zhe An,21-15 21-19 (0:47),,,,,
,,,,,ZHOU Xin Yu,
Yohanes Saut MARCELLYNO [3],,,,,8-21 21-18 21-16 (1:06),
,Yohanes Saut MARCELLYNO [3],,,,,
Bye,Bye,,,,,
,,ZHOU Xin Yu,,,,
ZHOU Xin Yu,,21-10 21-16 (0:43),,,,
,ZHOU Xin Yu,,,,,
TING Yen-Chen,21-15 21-16 (0:45),,,,,
,,,ZHOU Xin Yu,,,
KOK Jing Hong,,,21-18 22-24 21-19 (1:18),,,
,KOK Jing Hong,,,,,
Bye,Bye,,,,,
,,KOK Jing Hong,,,,
MA Cheng-Yi,,21-11 21-23 22-20 (1:01),,,,
,ZENG Yi Fan,,,,,
ZENG Yi Fan,21-17 19-21 21-13 (1:05),,,,,
,,,,ZHOU Xin Yu,,
KUO Kuan Lin [8],,,,21-16 21-13 (0:41),,
,KUO Kuan Lin [8],,,,,
Bye,Bye,,,,,
,,KUO Kuan Lin [8],,,,
LIU Yu Xuan,,21-12 21-10 (0:36),,,,
,LIU Yu Xuan,,,,,
Wei-Cheng SU,18-21 21-10 21-19 (0:58),,,,,
,,,KUO Kuan Lin [8],,,
Xiaodong SHENG,,,21-10 21-13 (0:38),,,
,Xiaodong SHENG,,,,,
Bye,Bye,,,,,
,,Xiaodong SHENG,,,,
AWAN Usman,,21-16 21-14 (0:37),,,,
,AWAN Usman,,,,,
OOI Yi Ping,21-13 21-13 (0:24),,,,,
,,,,,,SUN Chao
CHAN Yin Chak,,,,,,21-15 21-17 (0:49)
,CHAN Yin Chak,,,,,
Kiran Kumar MEKALA,21-9 21-8 (0:24),,,,,
,,SUN Chao,,,,
Bye,,21-15 21-11 (0:32),,,,
,SUN Chao,,,,,
SUN Chao,Bye,,,,,
,,,SUN Chao,,,
Cheng-Han TSAI,,,21-10 16-21 21-16 (0:56),,,
,Cheng-Han TSAI,,,,,
Sam YUAN,21-11 21-8 (0:26),,,,,
,,HUANG Yu Kai [7],,,,
Bye,,21-17 10-21 21-12 (0:48),,,,
,HUANG Yu Kai [7],,,,,
HUANG Yu Kai [7],Bye,,,,,
,,,,SUN Chao,,
ZHAO Junpeng,,,,21-18 21-12 (0:32),,
,ZHAO Junpeng,,,,,
Zhe Ying WU,21-13 21-16 (0:30),,,,,
,,Moh. Zaki UBAIDILLAH,,,,
Bye,,21-16 21-16 (0:34),,,,
,Moh. Zaki UBAIDILLAH,,,,,
Moh. Zaki UBAIDILLAH,Bye,,,,,
,,,CHENG Kai,,,
CHENG Kai,,,21-19 21-14 (0:37),,,
,CHENG Kai,,,,,
Dumindu ABEYWICKRAMA,13-21 21-10 21-14 (0:39),,,,,
,,CHENG Kai,,,,
Bye,,21-9 22-24 21-10 (0:53),,,,
,LE Duc Phat [4],,,,,
LE Duc Phat [4],Bye,,,,,
,,,,,SUN Chao,
WANG Zi Jun,,,,,13-21 21-19 21-18 (1:11),
,WANG Zi Jun,,,,,
ZHU Xuan Chen,21-12 21-12 (0:39),,,,,
,,WANG Zi Jun,,,,
Bye,,21-6 21-13 (0:42),,,,
,Korakrit LAOTRAKUL,,,,,
Korakrit LAOTRAKUL,Bye,,,,,
,,,WANG Zi Jun,,,
Pang Fong PUI,,,23-21 21-15 (0:46),,,
,Pang Fong PUI,,,,,
Bharath LATHEESH,21-18 12-21 21-8 (0:46),,,,,
,,Pang Fong PUI,,,,
Bye,,21-19 21-17 (0:49),,,,
,HUANG Ping-Hsien [6],,,,,
HUANG Ping-Hsien [6],Bye,,,,,
,,,,Aidil Sholeh ALI SADIKIN [2],,
Kai Chen TEOH,,,,21-19 21-17 (0:49),,
,WANG Yu-Kai,,,,,
WANG Yu-Kai,21-12 21-10 (0:29),,,,,
,,LU Chia Hung,,,,
Bye,,21-16 16-21 21-9 (0:47),,,,
,LU Chia Hung,,,,,
LU Chia Hung,Bye,,,,,
,,,Aidil Sholeh ALI SADIKIN [2],,,
Zhen Yi ONG,,,21-10 21-18 (0:31),,,
,ZHANG Ning,,,,,
ZHANG Ning,21-15 21-7 (0:38),,,,,
,,Aidil Sholeh ALI SADIKIN [2],,,,
Bye,,9-21 21-16 21-16 (0:57),,,,
,Aidil Sholeh ALI SADIKIN [2],,,,,
Aidil Sholeh ALI SADIKIN [2],Bye,,,,,
,,,,,,
