Round 1,Round 2,Qualifier
SUN Chao,,
,SUN Chao,
TAN Kean Wei,21-14 21-14 (0:30),
,,SUN Chao
Aris KATTIRTZI,,21-7 21-8 (0:28)
,Aris KATTIRTZI,
Tanongsak SAENSOMBOONSUK,Walkover,
,,
Hing Long WONG,,
,Hing Long WONG,
KUO Li-Chun,20-22 21-18 21-14 (1:02),
,,Chung-Hsiang YIH
Chung-Hsiang YIH,,13-21 21-18 17-9 ret. (0:54)
,Chung-Hsiang YIH,
AO Fei Long,21-14 21-19 (0:33),
,,
Yi LIU,,
,ZENG Yi Fan,
ZENG Yi Fan,21-9 21-6 (0:27),
,,ZENG Yi Fan
PAN Yin Long,,21-16 21-23 22-20 (1:21)
,PAN Yin Long,
Yansong ZHAO,21-7 21-14 (0:22),
,,
Ratchaphol SRITHONG,,
,ZHANG Ning,
ZHANG Ning,21-11 21-11 (0:31),
,,ZHANG Ning
PUI Chi Chon,,21-5 21-10 (0:20)
,PUI Chi Chon,
CHUN KAR LUNG,21-5 21-7 (0:16),
,,
Hong Wei TAN,,
,Lai Yin CHUNG,
Lai Yin CHUNG,21-11 19-21 21-14 (0:51),
,,OOI Yi Ping
OOI Yi Ping,,21-15 13-21 21-17 (0:50)
,OOI Yi Ping,
Zong Han LEE,21-16 23-21 (0:32),
,,
YUNG King To,,
,YUNG King To,
Jingtong CHEN,21-3 21-7 (0:17),
,,AWAN Usman
AWAN Usman,,21-14 21-23 21-9 (0:48)
,AWAN Usman,
WANG Yuehang,21-18 21-10 (0:30),
,,
KONG Zhou Swin,,
,YANG Pei Yi,
YANG Pei Yi,21-10 21-10 (0:31),
,,Zhe Ying WU
Zhe Ying WU,,13-21 21-18 21-17 (0:58)
,Zhe Ying WU,
Haoxuan XIA,21-5 21-6 (0:22),
,,
ZHOU Xin Yu,,
,ZHOU Xin Yu,
Pranav Rao GANDHAM,21-12 21-13 (0:36),
,,ZHOU Xin Yu
Jhonatan WU ZHENG,,21-14 22-20 (0:47)
,CHEN Wen Jie [PMD],
CHEN Wen Jie [PMD],21-9 21-15 (0:26),
,,
