Round 1,Quarter-final,Qualifier
HSIEH Chih Ying / Ruo Hsuan KO,,
,HSIEH Chih Ying / Ruo Hsuan KO,
Bye,Bye,
,,Jin En PANG / Zi Yi QIAN
Jin En PANG / Zi Yi QIAN,,Walkover
,Jin En PANG / Zi Yi QIAN,
Weng Chi NG / PUI Chi Wa,21-15 21-9 (0:28),
,,
Yun Jung CHANG / Chiao En YU,,
,LI Jiajia / Xin Ran LI,
LI Jiajia / Xin Ran LI,21-19 21-18 (0:34),
,,QIN Tian Yue / WANG Yu Yan
QIN Tian Yue / WANG Yu Yan,,21-14 21-17 (0:36)
,QIN Tian Yue / WANG Yu Yan,
Yue Ling HUANG / Yu Yuan LI,21-10 21-4 (0:25),
,,
BAI Wan Qian / Ke Xin XIE,,
,BAI Wan Qian / Ke Xin XIE,
HSIEH Yun-Shan / Siang Syuan LIN,21-9 21-11 (0:21),
,,Hinata SUZUKI / An UESUGI
ZHANG Wen Xiao / ZHENG Lan,,21-13 21-14 (0:30)
,Hinata SUZUKI / An UESUGI,
Hinata SUZUKI / An UESUGI,21-14 21-12 (0:35),
,,
CHEN Yingying / YAN Chenxue,,
,CHEN Yingying / YAN Chenxue,
CHEN Jia Yu / Chun Rui XU,21-9 21-15 (0:28),
,,CHEN Yingying / YAN Chenxue
Bye,,Walkover
,HUA Xiaobei / QIAN Gouhong,
HUA Xiaobei / QIAN Gouhong,Bye,
,,
