Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
ZHANG Yiman [1],,,,,
,ZHANG Yiman [1],,,,
Ruzana RUZANA,21-14 21-19 (0:37),,,,
,,ZHANG Yiman [1],,,
PENG Yu Wei,,21-14 19-21 21-14 (0:47),,,
,PENG Yu Wei,,,,
LIN Sih Yun,21-19 21-7 (0:29),,,,
,,,ZHANG Yiman [1],,
DAI Wang [6],,,21-18 20-22 23-21 (1:20),,
,DAI Wang [6],,,,
Sorano YOSHIKAWA,21-1 21-16 (0:37),,,,
,,DAI Wang [6],,,
Saloni Samirbhai MEHTA,,21-10 21-14 (0:35),,,
,Saloni Samirbhai MEHTA,,,,
LOH Zhi Wei,21-15 13-21 21-13 (0:51),,,,
,,,,ZHANG Yiman [1],
Manami SUIZU [3],,,,21-19 21-10 (0:36),
,LUO Sheng Xuan,,,,
LUO Sheng Xuan,21-16 21-12 (0:45),,,,
,,LUO Sheng Xuan,,,
WANG Pei Yu,,21-16 21-18 (0:50),,,
,WANG Pei Yu,,,,
Kai Qi (Bernice) TEOH,21-11 21-12 (0:29),,,,
,,,LUO Sheng Xuan,,
THET HTAR THUZAR [5],,,22-20 21-15 (0:39),,
,THET HTAR THUZAR [5],,,,
Isabelle RUSLI,21-18 21-10 (0:27),,,,
,,HUNG Yi-Ting,,,
HUNG Yi-Ting,,21-14 21-12 (0:28),,,
,HUNG Yi-Ting,,,,
LIANG Ka Wing,18-21 21-4 21-13 (0:40),,,,
,,,,,ZHANG Yiman [1]
CAI Yanyan,,,,,21-13 21-14 (0:37)
,CAI Yanyan,,,,
Ling Ching WONG,21-17 21-7 (0:32),,,,
,,HUANG Ching Ping [8],,,
Muhammad Azmi Tan SITI ZULAIKHA,,21-18 21-17 (0:42),,,
,HUANG Ching Ping [8],,,,
HUANG Ching Ping [8],21-18 21-15 (0:33),,,,
,,,HAN Qianxi,,
Shriyanshi VALISHETTY,,,21-12 18-21 21-13 (0:56),,
,Ni Kadek Dhinda Amartya PRATIWI,,,,
Ni Kadek Dhinda Amartya PRATIWI,9-21 21-16 21-12 (0:55),,,,
,,HAN Qianxi,,,
HAN Qianxi,,16-21 21-12 21-18 (1:12),,,
,HAN Qianxi,,,,
LIANG Ting Yu [4],21-13 21-15 (0:30),,,,
,,,,HAN Qianxi,
Pitchamon OPATNIPUT,,,,21-19 19-21 21-12 (1:08),
,Pitchamon OPATNIPUT,,,,
Yue Yann Jaslyn HOOI,21-15 21-16 (0:34),,,,
,,WU Luoyu [7],,,
Disha GUPTA,,21-15 9-21 21-13 (1:00),,,
,WU Luoyu [7],,,,
WU Luoyu [7],21-8 21-9 (0:24),,,,
,,,Ester Nurumi Tri WARDOYO [2],,
YEUNG Sum Yee,,,21-18 21-19 (0:51),,
,Mutiara Ayu PUSPITASARI,,,,
Mutiara Ayu PUSPITASARI,21-19 21-12 (0:43),,,,
,,Ester Nurumi Tri WARDOYO [2],,,
YANG Jing Rui,,21-17 23-21 (0:44),,,
,Ester Nurumi Tri WARDOYO [2],,,,
Ester Nurumi Tri WARDOYO [2],21-17 26-28 21-18 (1:19),,,,
,,,,,
