Round 1,Quarter-final,Qualifier
Ruo Hsuan KO,,
,LUO Sheng Xuan,
LUO Sheng Xuan,21-9 21-14 (0:37),
,,LUO Sheng Xuan
WU Yuqi,,21-11 21-17 (0:36)
,JIA Zhi Fan,
JIA Zhi Fan,21-19 21-19 (0:41),
,,
WANG Pei Yu,,
,WANG Pei Yu,
KOH Yee Xin,21-8 21-6 (0:22),
,,WANG Pei Yu
PUI Chi Wa,,21-13 21-9 (0:27)
,PUI Chi Wa,
LIM Tin En Tiffany,24-22 21-18 (0:33),
,,
LIAO Jui-Chi,,
,GUO Xin Yi,
GUO Xin Yi,17-21 21-16 21-18 (1:06),
,,LIANG Ka Wing
LIANG Ka Wing,,21-11 21-18 (0:32)
,LIANG Ka Wing,
Siang Syuan LIN,21-18 21-18 (0:34),
,,
YANG Jing Rui,,
,YANG Jing Rui,
HSIEH Yun-Shan,21-11 21-11 (0:31),
,,YANG Jing Rui
DAI Qin Yi,,15-21 21-11 21-11 (0:47)
,DAI Qin Yi,
Mysha OMER KHAN,21-9 21-9 (0:22),
,,
