Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Hiroki NISHI / Akari SATO [1],,,,,
,Hiroki NISHI / Akari SATO [1],,,,
Cheng Han TSAI / Chiao En YU,21-15 21-8 (0:26),,,,
,,Hiroki NISHI / Akari SATO [1],,,
Ming Yap TOO / LEE Yu Shan,,21-19 21-16 (0:32),,,
,Yi Lang FENG / Yue Yu LI,,,,
Yi Lang FENG / Yue Yu LI,21-17 21-11 (0:28),,,,
,,,LIAO Pin Yi / HUANG Ke Xin,,
GAO Jia Xuan / WU Meng Ying [6],,,18-21 21-19 21-13 (1:04),,
,GAO Jia Xuan / WU Meng Ying [6],,,,
Cheng CHEN / WANG Szu-Min,21-10 21-14 (0:24),,,,
,,LIAO Pin Yi / HUANG Ke Xin,,,
Jhonatan WU ZHENG / Juliana Zefanya GABRIELA,,19-21 21-16 21-16 (0:55),,,
,LIAO Pin Yi / HUANG Ke Xin,,,,
LIAO Pin Yi / HUANG Ke Xin,21-11 21-9 (0:26),,,,
,,,,TANG Chun Man / NG Tsz Yau [7],
Yuta WATANABE / Maya TAGUCHI [3],,,,21-13 16-21 21-10 (0:59),
,Yuta WATANABE / Maya TAGUCHI [3],,,,
Kai Chen TEOH / Kai Qi (Bernice) TEOH,21-10 21-4 (0:19),,,,
,,LI Hong Yi / BAO Li Jing,,,
HUANG Tsung-I / LIAO Jui-Chi,,21-18 21-15 (0:39),,,
,LI Hong Yi / BAO Li Jing,,,,
LI Hong Yi / BAO Li Jing,21-8 21-11 (0:23),,,,
,,,TANG Chun Man / NG Tsz Yau [7],,
TANG Chun Man / NG Tsz Yau [7],,,26-24 21-16 (0:47),,
,TANG Chun Man / NG Tsz Yau [7],,,,
LYE Jun Cheng / LAI Ting Chen,21-15 21-15 (0:28),,,,
,,TANG Chun Man / NG Tsz Yau [7],,,
WEE Yee Hern / Wen Tse CHAN,,21-14 21-12 (0:27),,,
,SHANG Yichen / LIN Fangling,,,,
SHANG Yichen / LIN Fangling,13-21 21-14 21-16 (0:47),,,,
,,,,,TANG Chun Man / NG Tsz Yau [7]
CHENG Kai Wen / LIU Chiao-Yun,,,,,21-17 18-21 21-12 (1:06)
,CHENG Kai Wen / LIU Chiao-Yun,,,,
OOI Yi Ping / KOH Yee Xin,21-9 21-10 (0:19),,,,
,,ZHANG Hanyu / TANG Rui Zhi [8],,,
HUNG Kuei Chun / TSANG Hiu Yan,,21-18 21-13 (0:38),,,
,ZHANG Hanyu / TANG Rui Zhi [8],,,,
ZHANG Hanyu / TANG Rui Zhi [8],21-16 21-13 (0:34),,,,
,,,ZHANG Hanyu / TANG Rui Zhi [8],,
XIA Hao Liang / LIAO Li Xi,,,21-10 21-12 (0:32),,
,Zhi Guo CHEN / YU Yi Shan,,,,
Zhi Guo CHEN / YU Yi Shan,17-21 21-17 21-18 (0:59),,,,
,,Zhi Guo CHEN / YU Yi Shan,,,
TSAI Fu Cheng / SUNG Yu-Hsuan,,24-22 30-29 (0:48),,,
,LEONG Iok Chong / Weng Chi NG [4],,,,
LEONG Iok Chong / Weng Chi NG [4],9-21 21-19 21-15 (0:46),,,,
,,,,ZHANG Hanyu / TANG Rui Zhi [8],
LIN Xiang Yi / LIU Jia Yue,,,,18-21 23-21 21-16 (1:06),
,LIN Xiang Yi / LIU Jia Yue,,,,
Haoxuan XIA / LIM Tin En Tiffany,21-9 21-5 (0:17),,,,
,,MA Xi Xiang / LI Qian [5],,,
LOW Han Chen / Vannee GOBI,,21-18 21-19 (0:37),,,
,MA Xi Xiang / LI Qian [5],,,,
MA Xi Xiang / LI Qian [5],21-18 21-10 (0:26),,,,
,,,MA Xi Xiang / LI Qian [5],,
XU Jia Jun / FENG Xueying,,,21-18 15-21 21-11 (0:48),,
,SHEN Xuan Yao / YANG Jiayi,,,,
SHEN Xuan Yao / YANG Jiayi,21-17 21-18 (0:32),,,,
,,SHEN Xuan Yao / YANG Jiayi,,,
Pang Fong PUI / PUI Chi Wa,,21-17 21-17 (0:33),,,
,LUI Chun Wai / FU Chi Yan [2],,,,
LUI Chun Wai / FU Chi Yan [2],21-6 21-16 (0:21),,,,
,,,,,
