Round 1,Quarter-final,Qualifier
Ming Yap TOO / LEE Yu Shan,,
,Ming Yap TOO / LEE Yu Shan,
Bye,Bye,
,,Jhonatan WU ZHENG / Juliana Zefanya GABRIELA
Jhonatan WU ZHENG / Juliana Zefanya GABRIELA,,Walkover
,Jhonatan WU ZHENG / Juliana Zefanya GABRIELA,
Bye,Bye,
,,
XU Jia Jun / FENG Xueying,,
,XU Jia Jun / FENG Xueying,
Bye,Bye,
,,XU Jia Jun / FENG Xueying
Haoxuan XIA / LIM Tin En Tiffany,,Walkover
,Haoxuan XIA / LIM Tin En Tiffany,
Bye,Bye,
,,
XIA Hao Liang / LIAO Li Xi,,
,XIA Hao Liang / LIAO Li Xi,
Hung Ming CHEN / Yun Jung CHANG,29-27 21-14 (0:31),
,,XIA Hao Liang / LIAO Li Xi
Bye,,21-11 21-14 (0:25)
,Qi Nong WU / Yu DUAN,
Qi Nong WU / Yu DUAN,Bye,
,,
Bye,,
,Cheng Han TSAI / Chiao En YU,
Cheng Han TSAI / Chiao En YU,Bye,
,,Cheng Han TSAI / Chiao En YU
Bye,,Walkover
,Yi Lang FENG / Yue Yu LI,
Yi Lang FENG / Yue Yu LI,Bye,
,,
