Players,Opponents,Category,Round,Set,Streak,Details
DAI Wang,Sorano YOSHIKAWA,WS,Round 1,1,18,View
CHENG Kai Wen / LIAO Chao Pang,Dickon KHOO / LYE Jun Cheng,MD,Round 1,1,16,View
PENG Yu Wei,LIN Sih Yun,WS,Round 1,2,13,View
QIAO Shijun / ZHENG Yu,QIN Tian Yue / WANG Yu Yan,WD,Round 2,2,13,View
Cheng-Han TSAI,Sam YUAN,MS,Round 1,2,12,View
ZHANG Ning,PUI Chi Chon,MS,Round 2,1,12,View
LU Ching Yao / WEI Chun Wei,Kakeru KUMAGAI / Hiroki NISHI,MD,Round 2,2,12,View
LAI Po Yu / TSAI Fu Cheng,BAO XIN Da Gu La Wai / Tzu Hung CHIU,MD,Round 2,1,12,View
DONG Tian Yao,CHEN Chi Ting,MS,Round 1,1,11,View
ZHANG Yiman,LUO Sheng Xuan,WS,Semi-final,2,11,View
