Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
ONG Yew Sin / TEO Ee Yi [1],,,,,
,ONG Yew Sin / TEO Ee Yi [1],,,,
Eloi ADAM / Leo ROSSI,21-13 21-14 (0:33),,,,
,,ONG Yew Sin / TEO Ee Yi [1],,,
Daniel LUNDGAARD / Mads VESTERGAARD,,21-14 19-21 21-10 (0:51),,,
,Daniel LUNDGAARD / Mads VESTERGAARD,,,,
CHEN Cheng Kuan / CHEN Sheng Fa,26-24 18-21 21-14 (1:12),,,,
,,,ONG Yew Sin / TEO Ee Yi [1],,
LU Ching Yao / YANG Po Han [5],,,21-19 21-10 (0:34),,
,LU Ching Yao / YANG Po Han [5],,,,
Torjus FLAATTEN / Vegard RIKHEIM,21-16 21-18 (0:35),,,,
,,LU Ching Yao / YANG Po Han [5],,,
Christopher GRIMLEY / Matthew GRIMLEY,,21-16 21-17 (0:39),,,
,Christopher GRIMLEY / Matthew GRIMLEY,,,,
William Kryger BOE / Christian Faust KJÆR,21-19 17-21 21-16 (0:58),,,,
,,,,HE Jiting / REN Xiangyu [3],
HE Jiting / REN Xiangyu [3],,,,21-5 21-15 (0:34),
,HE Jiting / REN Xiangyu [3],,,,
VíT KULÍŠEK / Tomáš ŠVEJDA,21-4 21-6 (0:26),,,,
,,HE Jiting / REN Xiangyu [3],,,
Job CASTILLO / Luis Armando MONTOYA NAVARRO,,21-14 21-10 (0:27),,,
,Job CASTILLO / Luis Armando MONTOYA NAVARRO,,,,
Ivan RUSEV / Iliyan STOYNOV,21-17 21-15 (0:37),,,,
,,,HE Jiting / REN Xiangyu [3],,
Mark LAMSFUSS / Marvin SEIDEL [6],,,15-21 22-20 21-15 (1:06),,
,Mark LAMSFUSS / Marvin SEIDEL [6],,,,
Bjarne GEISS / Jan Colin VÖLKER,14-21 21-13 21-17 (0:51),,,,
,,Mark LAMSFUSS / Marvin SEIDEL [6],,,
Marvin DATKO / Jarne SCHLEVOIGT,,18-21 21-19 21-18 (1:00),,,
,Andreas SØNDERGAARD / Jesper TOFT,,,,
Andreas SØNDERGAARD / Jesper TOFT,21-16 21-17 (0:32),,,,
,,,,,LEE Jhe-Huei / YANG Po-Hsuan [2]
Lucas CORVEE / Ronan LABAR,,,,,15-21 23-21 23-21 (1:00)
,CHANG Ko-Chi / PO Li-Wei,,,,
CHANG Ko-Chi / PO Li-Wei,21-16 21-14 (0:32),,,,
,,CHANG Ko-Chi / PO Li-Wei,,,
Joshua MAGEE / Paul REYNOLDS,,21-15 21-12 (0:32),,,
,Alexander DUNN / Adam HALL [7],,,,
Alexander DUNN / Adam HALL [7],21-13 21-18 (0:32),,,,
,,,Rasmus KJÆR / Frederik SØGAARD [4],,
Mads GADEGAARD / Oliver GEISLER,,,21-7 23-21 (0:42),,
,Ondrej KRÁL / Adam MENDREK,,,,
Ondrej KRÁL / Adam MENDREK,21-18 21-10 (0:33),,,,
,,Rasmus KJÆR / Frederik SØGAARD [4],,,
Ties VAN DER LECQ / Brian WASSINK,,21-19 21-14 (0:37),,,
,Rasmus KJÆR / Frederik SØGAARD [4],,,,
Rasmus KJÆR / Frederik SØGAARD [4],16-21 21-10 21-17 (0:54),,,,
,,,,LEE Jhe-Huei / YANG Po-Hsuan [2],
Christo POPOV / Toma Junior POPOV,,,,22-20 21-11 (0:34),
,Christo POPOV / Toma Junior POPOV,,,,
DONG Adam (Xingyu) / Nyl YAKURA,21-18 21-14 (0:37),,,,
,,Supak JOMKOH / Kittinupong KEDREN [8],,,
Jones Ralfy JANSEN / Kenneth NEUMANN,,21-19 21-14 (0:36),,,
,Supak JOMKOH / Kittinupong KEDREN [8],,,,
Supak JOMKOH / Kittinupong KEDREN [8],21-14 21-16 (0:31),,,,
,,,LEE Jhe-Huei / YANG Po-Hsuan [2],,
Vinson CHIU / Joshua YUAN,,,21-12 21-17 (0:30),,
,Rasmus ESPERSEN / Marcus RINDSHØJ,,,,
Rasmus ESPERSEN / Marcus RINDSHØJ,21-12 19-21 21-15 (0:56),,,,
,,LEE Jhe-Huei / YANG Po-Hsuan [2],,,
Daniel HESS / Patrick SCHEIEL,,21-18 21-11 (0:33),,,
,LEE Jhe-Huei / YANG Po-Hsuan [2],,,,
LEE Jhe-Huei / YANG Po-Hsuan [2],21-6 21-15 (0:27),,,,
,,,,,
