Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
CHOU Tien Chen [1],,,,,
,CHOU Tien Chen [1],,,,
Mark CALJOUW,21-17 18-21 21-16 (1:07),,,,
,,ZHAO Junpeng,,,
LIAO Jhuo-Fu,,21-14 21-18 (0:44),,,
,ZHAO Junpeng,,,,
ZHAO Junpeng,21-11 12-21 21-16 (0:53),,,,
,,,ZHAO Junpeng,,
Brian YANG [5],,,18-21 21-14 21-12 (1:01),,
,Brian YANG [5],,,,
S.Sankar Muthusamy SUBRAMANIAN,15-21 21-18 21-13 (1:05),,,,
,,Julien CARRAGGI,,,
Julien CARRAGGI,,16-21 21-15 21-14 (1:01),,,
,Julien CARRAGGI,,,,
DANYLO BOSNIUK,22-24 22-20 21-13 (1:13),,,,
,,,,Rasmus GEMKE,
LIN Chun-Yi [3],,,,21-15 17-21 21-19 (1:06),
,LIN Chun-Yi [3],,,,
Jan LOUDA,15-21 21-19 21-14 (1:11),,,,
,,LIN Chun-Yi [3],,,
Magnus JOHANNESEN,,21-15 17-21 21-3 (1:02),,,
,Kantaphon WANGCHAROEN,,,,
Kantaphon WANGCHAROEN,15-21 21-18 21-15 (1:16),,,,
,,,Rasmus GEMKE,,
Toma Junior POPOV [6],,,21-16 17-21 21-16 (1:32),,
,Alex LANIER,,,,
Alex LANIER,18-21 21-16 21-11 (1:15),,,,
,,Rasmus GEMKE,,,
Rasmus GEMKE,,16-21 21-11 21-18 (1:18),,,
,Rasmus GEMKE,,,,
Pablo ABIAN [PMD],21-13 21-13 (0:42),,,,
,,,,,Christo POPOV [8]
Sathish Kumar KARUNAKARAN,,,,,21-17 21-16 (0:45)
,Sathish Kumar KARUNAKARAN,,,,
Misha ZILBERMAN,21-18 19-21 21-19 (1:22),,,,
,,Nhat NGUYEN,,,
Nhat NGUYEN,,21-18 24-22 (1:02),,,
,Nhat NGUYEN,,,,
WANG Tzu Wei [7],21-7 11-5 ret. (0:28),,,,
,,,JEON Hyeok Jin,,
CHEAM June Wei [PMD],,,18-21 21-17 21-17 (1:31),,
,Lucas CLAERBOUT,,,,
Lucas CLAERBOUT,21-19 21-14 (0:44),,,,
,,JEON Hyeok Jin,,,
JEON Hyeok Jin,,21-17 21-16 (0:58),,,
,JEON Hyeok Jin,,,,
NG Ka Long Angus [4],21-17 21-16 (0:45),,,,
,,,,Christo POPOV [8],
Chia Hao LEE,,,,21-17 11-21 21-11 (1:11),
,Chia Hao LEE,,,,
Arnaud MERKLE,21-17 21-18 (0:43),,,,
,,Christo POPOV [8],,,
Mads CHRISTOPHERSEN,,22-20 21-13 (0:42),,,
,Christo POPOV [8],,,,
Christo POPOV [8],21-17 21-18 (0:41),,,,
,,,Christo POPOV [8],,
SU Li Yang,,,21-19 22-24 21-17 (1:40),,
,SU Li Yang,,,,
HUANG Yu Kai,21-18 21-18 (0:44),,,,
,,SU Li Yang,,,
Kalle KOLJONEN,,21-18 21-16 (0:49),,,
,Kalle KOLJONEN,,,,
Ade Resky DWICAHYO [PMD],21-10 21-11 (0:34),,,,
,,,,,
