Round 1,Round 2,Qualifier
Joran KWEEKEL [PMD],,
,Joran KWEEKEL [PMD],
Fabio CAPONIO,21-18 21-13 (0:34),
,,LIAO Jhuo-Fu
Dmitriy PANARIN,,21-17 21-16 (0:43)
,LIAO Jhuo-Fu,
LIAO Jhuo-Fu,21-11 21-12 (0:28),
,,
Max WEISSKIRCHEN [PMD],,
,Collins Valentine FILIMON,
Collins Valentine FILIMON,21-19 1-3 ret. (0:21),
,,DANYLO BOSNIUK
Giovanni TOTI,,21-19 21-18 (0:37)
,DANYLO BOSNIUK,
DANYLO BOSNIUK,18-21 21-15 21-12 (0:56),
,,
S.Sankar Muthusamy SUBRAMANIAN,,
,S.Sankar Muthusamy SUBRAMANIAN,
Kai SCHAEFER,21-17 21-10 (0:33),
,,S.Sankar Muthusamy SUBRAMANIAN
Luís Enrique PEÑALVER,,21-11 21-18 (0:27)
,Tobias KUENZI [PMD],
Tobias KUENZI [PMD],21-7 24-26 21-19 (0:50),
,,
Lucas CLAERBOUT,,
,Lucas CLAERBOUT,
Fabian ROTH,21-19 21-17 (0:45),
,,Lucas CLAERBOUT
Joakim OLDORFF,,16-21 21-19 21-15 (1:04)
,Joakim OLDORFF,
Markus BARTH [PMD],21-12 21-13 (0:26),
,,
