Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Rachael DARRAGH [PMD],,,,,
,PAI Yu Po,,,,
PAI Yu Po,21-11 21-16 (0:35),,,,
,,SUNG Shuo Yun,,,
SUNG Shuo Yun,,21-9 21-12 (0:35),,,
,SUNG Shuo Yun,,,,
CHENG Sin Yan Happy Serena,21-17 15-21 21-15 (1:10),,,,
,,,Mia BLICHFELDT [6],,
Mia BLICHFELDT [6],,,21-14 21-11 (0:41),,
,Mia BLICHFELDT [6],,,,
Keisha Fatimah AZ ZAHRA,21-12 21-10 (0:34),,,,
,,Mia BLICHFELDT [6],,,
Polina BUHROVA,,21-13 21-14 (0:40),,,
,AAKARSHI KASHYAP,,,,
AAKARSHI KASHYAP,21-23 21-17 21-11 (1:03),,,,
,,,,Mia BLICHFELDT [6],
Pornpawee CHOCHUWONG [4],,,,21-13 18-21 21-10 (1:02),
,Pornpawee CHOCHUWONG [4],,,,
Yvonne LI,21-18 21-18 (0:48),,,,
,,Michelle LI,,,
Michelle LI,,21-19 21-18 (0:47),,,
,Michelle LI,,,,
Wendy ZHANG,21-18 21-11 (0:31),,,,
,,,Michelle LI,,
Kirsty GILMOUR [8],,,21-13 21-11 (0:31),,
,Kirsty GILMOUR [8],,,,
Julie Dawall JAKOBSEN,21-13 21-12 (0:31),,,,
,,QI Xuefei,,,
QI Xuefei,,19-21 22-20 23-21 (1:21),,,
,QI Xuefei,,,,
Jenjira STADELMANN,21-9 21-12 (0:30),,,,
,,,,,Mia BLICHFELDT [6]
Lauren LAM,,,,,21-11 21-9 (0:35)
,Lauren LAM,,,,
Lianne TAN,21-13 21-15 (0:28),,,,
,,Thuy Linh NGUYEN [7],,,
Kaloyana NALBANTOVA [PMD],,21-14 21-7 (0:29),,,
,Thuy Linh NGUYEN [7],,,,
Thuy Linh NGUYEN [7],21-7 21-11 (0:29),,,,
,,,Thuy Linh NGUYEN [7],,
Clara AZURMENDI,,,21-13 21-15 (0:33),,
,Iris WANG,,,,
Iris WANG,21-14 14-21 21-6 (0:46),,,,
,,Ratchanok INTANON [3],,,
TANYA HEMANTH,,21-18 21-13 (0:43),,,
,Ratchanok INTANON [3],,,,
Ratchanok INTANON [3],21-15 21-13 (0:35),,,,
,,,,Thuy Linh NGUYEN [7],
Tereza ŠVÁBÍKOVÁ,,,,20-22 21-8 21-16 (0:58),
,Tereza ŠVÁBÍKOVÁ,,,,
Ines Lucia CASTILLO SALAZAR,19-21 21-5 21-19 (0:52),,,,
,,Supanida KATETHONG [5],,,
Wen Chi HSU,,21-9 21-12 (0:29),,,
,Supanida KATETHONG [5],,,,
Supanida KATETHONG [5],21-15 14-21 21-13 (0:53),,,,
,,,KIM Ga Eun [2],,
LéOnice HUET [PMD],,,21-15 21-10 (0:32),,
,LéOnice HUET [PMD],,,,
THET HTAR THUZAR,21-15 18-21 21-17 (1:08),,,,
,,KIM Ga Eun [2],,,
Amalie SCHULZ,,21-15 21-8 (0:26),,,
,KIM Ga Eun [2],,,,
KIM Ga Eun [2],21-13 21-13 (0:31),,,,
,,,,,
