Country,Wins,Losses,PCT
China,12,2,85.7%
Vietnam,4,1,80.0%
Korea,10,3,76.9%
Hong Kong,8,4,66.7%
France,16,10,61.5%
Malaysia,8,5,61.5%
Thailand,11,7,61.1%
Bulgaria,4,3,57.1%
Chinese Taipei,26,20,56.5%
Denmark,22,17,56.4%
Netherlands,8,7,53.3%
Indonesia,4,4,50.0%
Canada,4,4,50.0%
Finland,2,2,50.0%
Belgium,2,2,50.0%
Singapore,1,1,50.0%
Scotland,4,5,44.4%
India,6,8,42.9%
Ukraine,3,4,42.9%
Czech Republic,4,6,40.0%
U.S.A.,4,7,36.4%
Ireland,2,4,33.3%
Australia,1,2,33.3%
Switzerland,1,2,33.3%
Germany,9,22,29.0%
