Round 1,Quarter-final,Qualifier
Shogo OGAWA,,
,Shogo OGAWA,
Matthias KICKLITZ,14-21 21-13 21-12 (0:58),
,,Joran KWEEKEL
Joran KWEEKEL,,21-17 21-18 (0:47)
,Joran KWEEKEL,
Jan LOUDA,12-21 21-18 21-15 (1:01),
,,
Rithvik Sanjeevi SATISH KUMAR,,
,Daniil DUBOVENKO,
Daniil DUBOVENKO,21-19 21-11 (0:38),
,,WANG Po-Wei
Dmitriy PANARIN,,21-14 21-16 (0:37)
,WANG Po-Wei,
WANG Po-Wei,21-10 21-12 (0:27),
,,
HUANG Yu Kai,,
,Misha ZILBERMAN,
Misha ZILBERMAN,18-21 21-10 21-19 (0:56),
,,Tharun MANNEPALLI
LIAO Jhuo-Fu,,21-14 16-21 21-11 (0:52)
,Tharun MANNEPALLI,
Tharun MANNEPALLI,21-11 22-20 (0:45),
,,
S.Sankar Muthusamy SUBRAMANIAN,,
,S.Sankar Muthusamy SUBRAMANIAN,
Jonathan MATIAS,21-19 21-9 (0:42),
,,Arnaud MERKLE
Ygor COELHO,,21-23 21-14 21-9 (1:12)
,Arnaud MERKLE,
Arnaud MERKLE,21-23 21-10 21-15 (0:47),
,,
