Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Gabriela STOEVA / Stefani STOEVA [1],,,,,
,Gabriela STOEVA / Stefani STOEVA [1],,,,
CHEN Su Yu / Yi En HSIEH,21-16 21-14 (0:31),,,,
,,Gabriela STOEVA / Stefani STOEVA [1],,,
Margot LAMBERT / Camille POGNANTE,,19-21 21-19 21-5 (0:53),,,
,Margot LAMBERT / Camille POGNANTE,,,,
Mariya MITSOVA / Kaloyana NALBANTOVA,21-18 21-15 (0:36),,,,
,,,Gabriela STOEVA / Stefani STOEVA [1],,
Meilysa Trisas PUSPITA SARI / Rachel Allessya ROSE [7],,,21-9 21-7 (0:30),,
,Meilysa Trisas PUSPITA SARI / Rachel Allessya ROSE [7],,,,
Nicole Gonzales CHAN / LIN Chih-Chun,18-21 21-11 22-20 (1:21),,,,
,,Amalie Cecilie KUDSK / Signe SCHULZ,,,
Nikol CARULLA / Carmen Maria JIMENEZ,,11-21 21-16 21-19 (1:18),,,
,Amalie Cecilie KUDSK / Signe SCHULZ,,,,
Amalie Cecilie KUDSK / Signe SCHULZ,21-14 21-14 (0:40),,,,
,,,,Gabriela STOEVA / Stefani STOEVA [1],
Julie MACPHERSON / Ciara TORRANCE [4],,,,21-17 11-21 21-17 (1:18),
,Julie MACPHERSON / Ciara TORRANCE [4],,,,
Lucie AMIGUET / Caroline RACLOZ,22-20 21-16 (0:39),,,,
,,Julie MACPHERSON / Ciara TORRANCE [4],,,
Tea MARGUERITTE / Flavie VALLET [WDN],,Walkover,,,
,Tea MARGUERITTE / Flavie VALLET [WDN],,,,
Sharone BAUER / Emilie VERCELOT,21-13 21-13 (0:33),,,,
,,,LI Wenmei / WANG Yi Duo [6],,
LI Wenmei / WANG Yi Duo [6],,,21-19 19-21 21-12 (1:18),,
,LI Wenmei / WANG Yi Duo [6],,,,
HUNG Hsin En / LEE Chih Chen,21-19 21-13 (0:46),,,,
,,LI Wenmei / WANG Yi Duo [6],,,
LUO Yi / WANG Zi Meng,,14-21 21-17 21-14 (1:08),,,
,LUO Yi / WANG Zi Meng,,,,
Mihaela CHEPISHEVA / Tsvetina POPIVANOVA,21-15 21-6 (0:29),,,,
,,,,,Mizuki OTAKE / Miyu TAKAHASHI
LIN Xiao Min / WANG Yu Qiao,,,,,21-17 20-22 21-12 (1:15)
,LIN Xiao Min / WANG Yu Qiao,,,,
Jaqueline LIMA / Samia LIMA,21-17 21-14 (0:32),,,,
,,LIN Xiao Min / WANG Yu Qiao,,,
Abbygael HARRIS / Lizzie TOLMAN,,21-19 21-16 (0:37),,,
,Bengisu ERCETIN / Nazlican INCI [8],,,,
Bengisu ERCETIN / Nazlican INCI [8],21-17 21-18 (0:44),,,,
,,,LIN Xiao Min / WANG Yu Qiao,,
KENG Shuliang / LI Hua Zhou,,,21-16 21-19 (0:41),,
,KENG Shuliang / LI Hua Zhou,,,,
Moa SJOO / Tilda SJOO,21-12 21-11 (0:38),,,,
,,KENG Shuliang / LI Hua Zhou,,,
Priya KONJENGBAM / Shruti MISHRA,,21-9 21-4 (0:29),,,
,Priya KONJENGBAM / Shruti MISHRA,,,,
Polina BUHROVA / Yevheniia KANTEMYR [3],21-18 17-21 21-18 (0:53),,,,
,,,,Mizuki OTAKE / Miyu TAKAHASHI,
Selin HÜBSCH / Amelie LEHMANN,,,,21-12 20-22 21-17 (1:07),
,GO Pei Kee / TEOH Mei Xing,,,,
GO Pei Kee / TEOH Mei Xing,21-12 21-14 (0:38),,,,
,,GO Pei Kee / TEOH Mei Xing,,,
Paulina HANKIEWICZ / Kornelia MARCZAK,,22-20 21-12 (0:44),,,
,CHEN Qingchen / WANG Ting Ge [5],,,,
CHEN Qingchen / WANG Ting Ge [5],21-4 21-9 (0:28),,,,
,,,Mizuki OTAKE / Miyu TAKAHASHI,,
Debora JILLE / Sara THYGESEN,,,21-9 21-13 (0:37),,
,Debora JILLE / Sara THYGESEN,,,,
Sian KELLY / Annie LADO,21-14 21-12 (0:32),,,,
,,Mizuki OTAKE / Miyu TAKAHASHI,,,
Mizuki OTAKE / Miyu TAKAHASHI,,21-11 21-14 (0:32),,,
,Mizuki OTAKE / Miyu TAKAHASHI,,,,
SUNG Shuo Yun / YU Chien Hui [2],21-13 21-15 (0:38),,,,
,,,,,
