Quarter-final,Qualifier
Raiia ALMALALHA / Sofiia LAVROVA [PMD],
,Mariya MITSOVA / Kaloyana NALBANTOVA
Mariya MITSOVA / Kaloyana NALBANTOVA,21-11 21-9 (0:31)
,
Kirsten DE WIT / Meerte LOOS,
,Nikol CARULLA / Carmen Maria JIMENEZ
Nikol CARULLA / Carmen Maria JIMENEZ,21-18 21-18 (0:42)
,
SonA HORÍNKOVÁ / KaterIna ZUZÁKOVÁ,
,Selin HÜBSCH / Amelie LEHMANN
Selin HÜBSCH / Amelie LEHMANN,21-16 21-16 (0:38)
,
Debora JILLE / Sara THYGESEN,
,Debora JILLE / Sara THYGESEN
Arathi Sara SUNIL / Varshini VISWANATH SRI,21-15 21-14 (0:34)
,
