Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Jesper TOFT / Amalie MAGELUND [1],,,,,
,Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,,,,
Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,21-10 21-18 (0:35),,,,
,,Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,,,
William VILLEGER / Flavie VALLET [WDN],,21-10 21-17 (0:28),,,
,Ashith SURYA / Amrutha PRAMUTHESH,,,,
Ashith SURYA / Amrutha PRAMUTHESH,Walkover,,,,
,,,Robin TABELING / Alexandra BØJE,,
YE Hong Wei / Nicole Gonzales CHAN [7],,,21-18 21-11 (0:35),,
,YE Hong Wei / Nicole Gonzales CHAN [7],,,,
Marwan FAZA / Aisyah Salsabila Putri PRANATA,18-21 21-15 21-13 (0:47),,,,
,,Robin TABELING / Alexandra BØJE,,,
Amri SYAHNAWI / Nita Violina MARWAH,,20-22 21-16 21-12 (0:56),,,
,Robin TABELING / Alexandra BØJE,,,,
Robin TABELING / Alexandra BØJE,21-18 22-20 (0:44),,,,
,,,,Robin TABELING / Alexandra BØJE,
CHEN Cheng Kuan / HSU Yin-Hui [3],,,,21-19 19-21 21-16 (1:06),
,CHEN Cheng Kuan / HSU Yin-Hui [3],,,,
Fabricio FARIAS / Jaqueline LIMA,21-18 21-13 (0:28),,,,
,,Rasmus ESPERSEN / Amalie Cecilie KUDSK,,,
Rasmus ESPERSEN / Amalie Cecilie KUDSK,,12-21 21-18 21-13 (0:52),,,
,Rasmus ESPERSEN / Amalie Cecilie KUDSK,,,,
Gregory MAIRS / Jenny MOORE,22-24 21-15 21-17 (1:10),,,,
,,,Rasmus ESPERSEN / Amalie Cecilie KUDSK,,
HEE Yong Kai Terry / Yujia JIN [5],,,21-13 21-11 (0:33),,
,Tien Ci WONG / LIM Chiew Sien,,,,
Tien Ci WONG / LIM Chiew Sien,15-21 24-22 21-19 (1:13),,,,
,,Presley SMITH / Jennie GAI,,,
Callum HEMMING / Estelle VAN LEEUWEN,,22-20 21-19 (0:42),,,
,Presley SMITH / Jennie GAI,,,,
Presley SMITH / Jennie GAI,18-21 21-19 22-20 (1:05),,,,
,,,,,Robin TABELING / Alexandra BØJE
Julien MAIO / Lea PALERMO,,,,,21-17 21-12 (0:39)
,Yuichi SHIMOGAMI / Sayaka HOBARA,,,,
Yuichi SHIMOGAMI / Sayaka HOBARA,21-16 21-8 (0:33),,,,
,,ZHU Yi Jun / ZHANG Chi [6],,,
Jan Colin VÖLKER / Franziska VOLKMANN,,21-12 16-21 22-20 (0:51),,,
,ZHU Yi Jun / ZHANG Chi [6],,,,
ZHU Yi Jun / ZHANG Chi [6],21-7 21-10 (0:26),,,,
,,,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,,
Adnan MAULANA / Indah Cahya Sari JAMIL,,,26-28 21-16 21-17 (1:15),,
,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,,,,
Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,21-13 21-18 (0:43),,,,
,,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,,,
Ruben GARCIA / Lucia RODRIGUEZ,,21-19 21-13 (0:34),,,
,Mads VESTERGAARD / Christine BUSCH [4],,,,
Mads VESTERGAARD / Christine BUSCH [4],21-19 21-16 (0:38),,,,
,,,,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,
Alexander DUNN / Julie MACPHERSON,,,,25-23 10-21 21-15 (1:00),
,Jones Ralfy JANSEN / Thuc Phuong NGUYEN,,,,
Jones Ralfy JANSEN / Thuc Phuong NGUYEN,21-18 21-11 (0:36),,,,
,,DHRUV KAPILA / Tanisha CRASTO [8],,,
Rohan KAPOOR / GADDE Ruthvika Shivani,,21-10 21-19 (0:32),,,
,DHRUV KAPILA / Tanisha CRASTO [8],,,,
DHRUV KAPILA / Tanisha CRASTO [8],21-16 18-21 21-17 (1:02),,,,
,,,DHRUV KAPILA / Tanisha CRASTO [8],,
GAO Jia Xuan / WU Meng Ying,,,21-14 21-17 (0:30),,
,GAO Jia Xuan / WU Meng Ying,,,,
LIN Bing-Wei / LEE Chih Chen,25-23 21-15 (0:39),,,,
,,GAO Jia Xuan / WU Meng Ying,,,
Koceila MAMMERI / Tanina Violette MAMMERI,,17-21 21-11 21-16 (0:50),,,
,HOO Pang Ron / CHENG Su Yin [2],,,,
HOO Pang Ron / CHENG Su Yin [2],21-11 21-15 (0:26),,,,
,,,,,
