Quarter-final,Qualifier
Oleksii TITOV / Yevheniia KANTEMYR,
,Fabricio FARIAS / Jaqueline LIMA
Fabricio FARIAS / Jaqueline LIMA,21-19 21-13 (0:25)
,
Kristoffer KOLDING / Mette WERGE,
,William VILLEGER / Flavie VALLET [WDN]
William VILLEGER / Flavie VALLET [WDN],21-16 21-13 (0:27)
,
LIN Bing-Wei / LEE Chih Chen,
,LIN Bing-Wei / LEE Chih Chen
Malik BOURAKKADI / Leona MICHALSKI,22-24 21-11 21-17 (1:02)
,
Tom LALOT TRESCARTE / Elsa JACOB,
,Jan Colin VÖLKER / Franziska VOLKMANN
Jan Colin VÖLKER / Franziska VOLKMANN,21-18 21-6 (0:30)
,
