category,round,player_a_rank,player_a,score,player_b,player_b_rank,duration_minutes,category_code,category_label
MD (qual),Quarter-final Qualification,,Mael CATTOEN / Lucas RENOIR,18-21 / 21-17 / 21-19,Malik BOURAKKADI / Kenneth NEUMANN,,62,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,Julien MAIO / William VILLEGER,22-24 / 27-25 / 21-9,Fabricio FARIAS / Davi SILVA,,54,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,CHEN Cheng Kuan / LIN Bing-Wei,21-14 / 21-11,Ties VAN DER LECQ / Brian WASSINK,,25,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,SU Ching Heng / WU Guan Xun,21-17 / 21-14,CHIA Wei Jie / LWI Sheng Hao,,35,MD,Men's Doubles
MD,Round 1,,Ben LANE / Sean VENDY,21-16 / 21-12,SUN Wen Jun / ZHU Yi Jun,,36,MD,Men's Doubles
MD,Round 1,,SU Ching Heng / WU Guan Xun,21-16 / 18-21 / 23-21,Hariharan AMSAKARUNAN / Ruban Kumar RETHINASABAPATHI,,60,MD,Men's Doubles
MD,Round 1,,Ming Che LU / TANG Kai Wei,19-21 / 21-13 / 21-19,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong,,59,MD,Men's Doubles
MD,Round 1,,CHEN Cheng Kuan / LIN Bing-Wei,21-12 / 21-14,Koceila MAMMERI / Youcef Sabri MEDEL,,26,MD,Men's Doubles
MD,Round 1,,Shaharuddin Junaidi W M ARIF / Roy King YAP,21-23 / 21-13 / 21-12,William Kryger BOE / Christian Faust KJÆR,,52,MD,Men's Doubles
MD,Round 1,,CHANG Ko-Chi / PO Li-Wei,22-20 / 21-18,Mael CATTOEN / Lucas RENOIR,,42,MD,Men's Doubles
MD,Round 1,,KIM Won Ho / SEO Seung Jae,21-16 / 21-18,Alexander DUNN / Adam PRINGLE,,39,MD,Men's Doubles
MD,Round 1,,Daniel HESS / Marvin SEIDEL,21-14 / 21-18,CHIANG Chien-Wei / WU Hsuan-Yi,,40,MD,Men's Doubles
MD,Round 1,,Christopher GRIMLEY / Matthew GRIMLEY,21-14 / 21-14,LOW Hang Yee / NG Eng Cheong,,37,MD,Men's Doubles
MD,Round 1,,Christo POPOV / Toma Junior POPOV,21-19 / 25-23,CHEN Zhi Ray / LIN Yu Chieh,,44,MD,Men's Doubles
MD,Round 1,,Eloi ADAM / Leo ROSSI,16-21 / 21-18 / 21-16,Bjarne GEISS / Jan Colin VÖLKER,,66,MD,Men's Doubles
MD,Round 1,,Fang-Chih LEE / Fang-Jen LEE,21-15 / 21-11,Julien MAIO / William VILLEGER,,33,MD,Men's Doubles
MD,Round 1,,CHEN ZHI YI / Presley SMITH,21-19 / 21-18,Khai Xing KANG / Aaron TAI,,36,MD,Men's Doubles
MD,Round 1,,Takumi NOMURA / Yuichi SHIMOGAMI,24-22 / 21-15,Andreas SØNDERGAARD / Jesper TOFT,,40,MD,Men's Doubles
MD,Round 1,,Pruthvi KRISHNAMURTHY ROY / Saipratheek. K KRISHNAPRASAD,22-20 / 21-19,Callum HEMMING / Ethan VAN LEEUWEN,,38,MD,Men's Doubles
MD,Round 1,,Rasmus KJÆR / Frederik SØGAARD,21-17 / 16-21 / 23-21,Daniel LUNDGAARD / Mads VESTERGAARD,,66,MD,Men's Doubles
MD,Round 2,,Ben LANE / Sean VENDY,19-21 / 21-13 / 21-7,SU Ching Heng / WU Guan Xun,,52,MD,Men's Doubles
MD,Round 2,,CHEN Cheng Kuan / LIN Bing-Wei,24-22 / 17-21 / 21-10,Ming Che LU / TANG Kai Wei,,56,MD,Men's Doubles
MD,Round 2,,Shaharuddin Junaidi W M ARIF / Roy King YAP,21-17 / 22-20,CHANG Ko-Chi / PO Li-Wei,,37,MD,Men's Doubles
MD,Round 2,,KIM Won Ho / SEO Seung Jae,21-6 / 21-12,Daniel HESS / Marvin SEIDEL,,31,MD,Men's Doubles
MD,Round 2,,Christo POPOV / Toma Junior POPOV,21-14 / 14-21 / 21-14,Christopher GRIMLEY / Matthew GRIMLEY,,53,MD,Men's Doubles
MD,Round 2,,Fang-Chih LEE / Fang-Jen LEE,21-15 / 21-16,Eloi ADAM / Leo ROSSI,,44,MD,Men's Doubles
MD,Round 2,,Takumi NOMURA / Yuichi SHIMOGAMI,21-14 / 21-19,CHEN ZHI YI / Presley SMITH,,37,MD,Men's Doubles
MD,Round 2,,Rasmus KJÆR / Frederik SØGAARD,19-21 / 21-14 / 21-14,Pruthvi KRISHNAMURTHY ROY / Saipratheek. K KRISHNAPRASAD,,53,MD,Men's Doubles
MD,Quarter-final,,Ben LANE / Sean VENDY,21-11 / 21-14,CHEN Cheng Kuan / LIN Bing-Wei,,33,MD,Men's Doubles
MD,Quarter-final,,KIM Won Ho / SEO Seung Jae,21-16 / 21-16,Shaharuddin Junaidi W M ARIF / Roy King YAP,,38,MD,Men's Doubles
MD,Quarter-final,,Christo POPOV / Toma Junior POPOV,21-17 / 21-9,Fang-Chih LEE / Fang-Jen LEE,,38,MD,Men's Doubles
MD,Quarter-final,,Takumi NOMURA / Yuichi SHIMOGAMI,21-14 / 19-21 / 21-16,Rasmus KJÆR / Frederik SØGAARD,,55,MD,Men's Doubles
MD,Semi-final,,KIM Won Ho / SEO Seung Jae,21-14 / 21-19,Ben LANE / Sean VENDY,,42,MD,Men's Doubles
MD,Semi-final,,Christo POPOV / Toma Junior POPOV,21-13 / 22-20,Takumi NOMURA / Yuichi SHIMOGAMI,,44,MD,Men's Doubles
MD,Final,,KIM Won Ho / SEO Seung Jae,21-19 / 21-17,Christo POPOV / Toma Junior POPOV,,47,MD,Men's Doubles
MS (qual),Round 1 Qualification,,Shogo OGAWA,14-21 / 21-13 / 21-12,Matthias KICKLITZ,,58,MS,Men's Singles
MS (qual),Round 1 Qualification,,Joran KWEEKEL,12-21 / 21-18 / 21-15,Jan LOUDA,,61,MS,Men's Singles
MS (qual),Round 1 Qualification,,Daniil DUBOVENKO,21-19 / 21-11,Rithvik Sanjeevi SATISH KUMAR,,38,MS,Men's Singles
MS (qual),Round 1 Qualification,,WANG Po-Wei,21-10 / 21-12,Dmitriy PANARIN,,27,MS,Men's Singles
MS (qual),Round 1 Qualification,,Misha ZILBERMAN,18-21 / 21-10 / 21-19,HUANG Yu Kai,,56,MS,Men's Singles
MS (qual),Round 1 Qualification,,Tharun MANNEPALLI,21-11 / 22-20,LIAO Jhuo-Fu,,45,MS,Men's Singles
MS (qual),Round 1 Qualification,,S.Sankar Muthusamy SUBRAMANIAN,21-19 / 21-9,Jonathan MATIAS,,42,MS,Men's Singles
MS (qual),Round 1 Qualification,,Arnaud MERKLE,21-23 / 21-10 / 21-15,Ygor COELHO,,47,MS,Men's Singles
MS (qual),Quarter-final Qualification,,Joran KWEEKEL,21-17 / 21-18,Shogo OGAWA,,47,MS,Men's Singles
MS (qual),Quarter-final Qualification,,WANG Po-Wei,21-14 / 21-16,Daniil DUBOVENKO,,37,MS,Men's Singles
MS (qual),Quarter-final Qualification,,Tharun MANNEPALLI,21-14 / 16-21 / 21-11,Misha ZILBERMAN,,52,MS,Men's Singles
MS (qual),Quarter-final Qualification,,Arnaud MERKLE,21-23 / 21-14 / 21-9,S.Sankar Muthusamy SUBRAMANIAN,,72,MS,Men's Singles
MS,Round 1,,Viktor AXELSEN,20-22 / 21-16 / 21-9,Riku HATANO,,56,MS,Men's Singles
MS,Round 1,,Alwi FARHAN,21-15 / 21-16,WANG Po-Wei,,42,MS,Men's Singles
MS,Round 1,,Rasmus GEMKE,14-21 / 21-18 / 21-19,Mads CHRISTOPHERSEN,,71,MS,Men's Singles
MS,Round 1,,Jason GUNAWAN,21-15 / 21-16,Ayush SHETTY,,44,MS,Men's Singles
MS,Round 1,,Toma Junior POPOV,21-14 / 21-15,Joran KWEEKEL,,46,MS,Men's Singles
MS,Round 1,,Priyanshu RAJAWAT,21-14 / 21-12,KIDAMBI Srikanth,,35,MS,Men's Singles
MS,Round 1,,Brian YANG,21-19 / 18-21 / 21-11,Kalle KOLJONEN,,72,MS,Men's Singles
MS,Round 1,,Tharun MANNEPALLI,10-21 / 21-19 / 21-19,Magnus JOHANNESEN,,65,MS,Men's Singles
MS,Round 1,,Kiran GEORGE,21-18 / 19-21 / 21-16,Joakim OLDORFF,,59,MS,Men's Singles
MS,Round 1,,WANG Zheng Xing,21-13 / 21-9,Kantaphon WANGCHAROEN,,36,MS,Men's Singles
MS,Round 1,,Koo TAKAHASHI,19-21 / 22-20 / 21-13,JEON Hyeok Jin,,89,MS,Men's Singles
MS,Round 1,,Christo POPOV,21-17 / 21-13,Julien CARRAGGI,,41,MS,Men's Singles
