Players,Opponents,Category,Round,Set,Streak,Details
Kaloyana NALBANTOVA,Ines Lucia CASTILLO SALAZAR,WS,Quarter-final,2,12,View
Toma Junior POPOV,Priyanshu RAJAWAT,MS,Round 2,3,12,View
Misha ZILBERMAN,HUANG Yu Kai,MS,Round 1,2,11,View
KENG Shuliang / LI Hua Zhou,Priya KONJENGBAM / Shruti MISHRA,WD,Round 2,1,11,View
Mizuki OTAKE / Miyu TAKAHASHI,GO Pei Kee / TEOH Mei Xing,WD,Quarter-final,1,11,View
Gabriela STOEVA / Stefani STOEVA,Margot LAMBERT / Camille POGNANTE,WD,Round 2,3,10,View
JEON Hyeok Jin,Koo TAKAHASHI,MS,Round 1,2,10,View
KISONA Selvaduray,Rakshitha Sree SANTHOSH RAMRAJ,WS,Round 1,2,10,View
Jan Colin VÖLKER / Franziska VOLKMANN,Tom LALOT TRESCARTE / Elsa JACOB,XD,Quarter-final,2,9,View
CHEN Qingchen / WANG Ting Ge,Paulina HANKIEWICZ / Kornelia MARCZAK,WD,Round 1,1,9,View
